"NUTS0","time","geo","EUR_HAB","EUR_HAB_EU","MIO_EUR","Act_F_Y15_64","Act_T_Y15_64","Emp_B_E","Emp_M_N","Emp_TOTAL","Rel_Emp_B_E","Rel_Emp_M_N","Unem","long","lat","area","FemPopNr","TotPopNr","GDP_PC","Act_Sh_T_Y15_64","Act_Sh_F_Y15_64","MWAY_KM","MWAY_KM_TKM2","RD_EUR_MIO_1","RD_EMP_EUR_1","HICP","HICP_1","Y09GDPHab","lGDPpc","lRD_1","lMWkm2","Total","ERR","logTotEn","ERR_1","NUTS0AT","NUTS0BE","NUTS0CZ","NUTS0DE","NUTS0DK","NUTS0HU","NUTS0LU","NUTS0NL","NUTS0PL","NUTS0SI","NUTS0SK"
"AT",2010,"AT11",26181.4954515199,93,7430.66341246949,63.3,139.2,18.3,9.9,133.5,0.137078651685393,0.0741573033707865,4,16.533205593561,47.5452410460352,4449.33614271091,145017,283697,0.026192252341299,0.490664335541088,0.436500548211589,80,17.9802104030866,55.6001805054152,416.480752849552,90.14,88.64,25.6092057761733,10.1728081597393,6.03184024889337,17.9802104030866,34115.6,0.264263269589279,10.4375100366663,0.272549902446345,1,0,0,0,0,0,0,0,0,0,0
"AT",2010,"AT13",51142.6669625028,181,86676.2813401376,392.2,824.6,70.4,109.1,755.1,0.0932326844126606,0.144484174281552,8.3,16.399,48.2103333333333,265.219998763031,881314,1689995,0.0512878921772772,0.487930437664017,0.44501732640126,43,162.129553580232,3211.40681407942,4252.955653661,90.14,88.64,51.10559566787,10.8423743977103,8.35536946812685,162.129553580232,34115.6,0.264263269589279,10.4375100366663,0.272549902446345,1,0,0,0,0,0,0,0,0,0,0
"AT",2010,"AT32",46039.4941202574,163,24258.9305524739,126.7,268,40.5,20.4,259.3,0.156189741612032,0.0786733513305052,3.2,13.0429790854124,47.4015853565913,7480.32361633571,271178,526730,0.0460557221963319,0.508799574734684,0.467220792247159,144,19.2505040404307,273.729693140794,1055.64864304201,90.14,88.64,44.6750902527076,10.7372548749444,6.96191068450913,19.2505040404307,34115.6,0.264263269589279,10.4375100366663,0.272549902446345,1,0,0,0,0,0,0,0,0,0,0
"AT",2010,"AT34",40381.6285777679,143,14914.5773241624,84.9,187,46.5,14.3,178.4,0.260650224215247,0.0801569506726457,4.6,9.89036970260461,47.2240588560438,2634.2200822706,186974,368366,0.0404884743004577,0.507647285580102,0.454073828446736,63,23.915997157571,231.033393501805,1295.03023263344,90.14,88.64,40.2752707581227,10.6061302223504,7.16628931952402,23.915997157571,34115.6,0.264263269589279,10.4375100366663,0.272549902446345,1,0,0,0,0,0,0,0,0,0,0
"AT",2010,"AT21",32948.7463944975,117,18395.8287108942,121.8,263.5,39.7,17.1,251.9,0.157602223104407,0.0678840809845177,4.3,13.886364282424,46.7721854736428,9393.46904950528,287422,557998,0.0329675531290331,0.472223914781057,0.423767143781617,243,25.8690371703304,439.054602888087,1742.9718256772,90.14,88.64,32.6037906137184,10.4027084935164,7.46334688111927,25.8690371703304,34115.6,0.264263269589279,10.4375100366663,0.272549902446345,1,0,0,0,0,0,0,0,0,0,0
"AT",2010,"AT33",40270.6900377191,142,28390.2817838917,166.8,357.7,51.5,27.7,346.1,0.148800924588269,0.0800346720600982,3.2,11.2734890366151,47.2547790832466,12339.7244448897,360160,704662,0.04028921920565,0.507619255756661,0.463127498889383,189,15.3163873994181,770.687048736462,2226.77563922699,90.14,88.64,40.3880866425993,10.6033791889785,7.70830991643767,15.3163873994181,34115.6,0.264263269589279,10.4375100366663,0.272549902446345,1,0,0,0,0,0,0,0,0,0,0
"AT",2010,"AT31",39050.3660971822,138,55016.6407810073,331.7,723.5,158.5,47.6,694.8,0.228123200921128,0.0685089234312032,3.9,13.9417116420195,48.1625991593184,11899.5970177095,717201,1409253,0.0390395768403597,0.513392556198213,0.462492383585634,299,25.1269013190123,1279.49120036101,1841.52446799224,90.14,88.64,38.4702166064982,10.5726075303118,7.51834902278693,25.1269013190123,34115.6,0.264263269589279,10.4375100366663,0.272549902446345,1,0,0,0,0,0,0,0,0,0,0
"AT",2010,"AT12",31950.2995340581,113,51349.0126469936,367.4,791,122.3,57,759.3,0.161069406031871,0.075069142631371,3.9,15.7318999238766,48.2560049112184,20165.2826799002,819527,1605897,0.0319752839982848,0.49255960998744,0.448307377304225,350,17.3565630373664,671.953971119134,884.965061397516,90.14,88.64,31.8140794223827,10.3719368348496,6.78554816558175,17.3565630373664,34115.6,0.264263269589279,10.4375100366663,0.272549902446345,1,0,0,0,0,0,0,0,0,0,0
"AT",2010,"AT22",34612.8244952296,122,41686.265808742,276.2,592.6,113.4,39.4,565.5,0.20053050397878,0.0696728558797524,4.5,14.9650453511351,47.2621403839163,16754.3722764479,616649,1205045,0.0345931196002988,0.491765867664693,0.447904723756951,308,18.3832610925665,1505.38357400722,2662.03991866882,90.14,88.64,34.2960288808664,10.4519795425232,7.88684799458598,18.3832610925665,34115.6,0.264263269589279,10.4375100366663,0.272549902446345,1,0,0,0,0,0,0,0,0,0,0
"AT",2011,"AT34",41242.6352437065,147,15256.5613283342,85.7,188.8,49,15.1,181,0.270718232044199,0.0834254143646409,4.1,9.89036970260461,47.2240588560438,2634.2200822706,187450,369300,0.0413121075774011,0.511237476306526,0.457188583622299,63,23.915997157571,226.106057244287,1249.20473615628,93.35,90.14,40.2752707581227,10.6272278362762,7.13026241675322,23.915997157571,33271.9,0.260535166311512,10.4124684758881,0.264263269589279,1,0,0,0,0,0,0,0,0,0,0
